Country,Flag,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Finland,,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.22,0.4,0,0,0,6.792,4.696,6.021,7.485,8.33,10.074,2.8360000000000003,8.306000000000001,8.306000000000001
Portugal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,1.6,2.249315068,3.754098361,1,6.26,8.23,6.0,7.04,7.63,7.11,7.6,6.897,6.897
Greece,,14,12,11.14657534,9.6,9,9.879452055,7.093150685,0.939726027,5.64863388,5.791780822,4.061643836,3.314136986,3.136065574,2.728493151,2.738356164,1.246575342,1,1.167671233,4.584246575,3.940684932,4.439398907,4.336575342,4.3316438360000005,4.066712329,6.262131148,5.053424658,6.382191781
Sweden,,0.018,0.01,0,0,0,0,0,0,0,0.46,1.06,1.08,1.4,1.6,2.3,3.7,4.5,6.5,7.834,7.985,7.099,6.247000000000001,5.725,4.717,4.758,6.0729999999999995,6.0729999999999995
Paraguay,,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.02,0.1,0.6,0.8,1.1,1.7,2.2,2.45,2.639,2.945,3.313,3.571,3.9810000000000003,4.1739999999999995,4.178,4.178
Lithuania,,0,1.6,2.9,3.2,3.007923497,3.834246575,5.474794521,4.651232877,5.984,9.555,8.84,7.758,6.248,4.586,4.173,3.887,4.7,4.4,4.573,4.009,4.586,4.749,4.609,4.671,5.1,4.074,4.074
Mauritania,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.61917808,14.99178082,12.83333333,11.24521918,8.232232877,7.737641096,6.577076503,6.750410959,6.003005479,5.246575342,4.836065574,4.0,4.0
Bulgaria,,1.1,1,1.1,1,0.7,0.6,0.8,0.8,0.851,0.603,0.74,0.6,1,1,1.1,1.2,1.2,1.4,1.37,1.32,1.62,2.166,1.503191781,3.045,3.3080000000000003,3.3080000000000003,3.3080000000000003
Bangladesh,,1.1,1.2,1.6,1.3,1.6,1.8,1.7,1.6,2.7,3.580821918,6.3,6.3,6.2,6.2,6.2,6.2,5.866666667,5.2,5.2,5.2,4.866666667,4.2,4.2,4.2,4.2,3.865753425,3.2
Belize,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.257309589,2.99979726,3.510663934,3.98950137,4.251682192,4,3.239344262,3.0,1.817761644,2.0,2.0,2.0,2.0
Jamaica,,0,0,0,0,0,0,0,0,0,0,1.9,2.6,1.97,2.2,5.2,4.852,6.423,6.9,0,0,0.0,0.0,0.0,0.0,1.6280000000000001,1.6280000000000001,1.6280000000000001
Costa Rica,,0,0,0,0,0,0,0,0,0,0,0.8,1,1.34,2.06,2.11,2.9,2.4,1.2,0,0,1.2590000000000001,1.324,1.331,1.479,1.571,1.571,1.571
Latvia,,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.3,0.5,0.9,1.2,1.186,1.229,1.9,1.429,1.581,1.439,1.0590000000000002,1.369,1.369
Barbados,,1.4,1.3,1.2,1.3,1,0.9,1.6,1.9,1.53,1.271,1,1,1,1,1.033424658,1.108493151,1.101,0.766,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kyrgyzstan,,2.3,2,1.616164384,2,2,1.8,1.7,1.608493151,2,2,1.52,1.38,1.4,2,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Switzerland,,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.12,0.22,0.26,0.26,0.1,0.14,0.12,0.14,0.1,0.1,0.12,0.16,1.0,1.0
Uruguay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.06,0.05,0.14,0.436,0.631,0.691,0.9229999999999999,1.182,0.9,0.9390000000000001,0.938,0.938
Kenya,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,0.517,0.517,0.6890000000000001,0.862,0.862,0.862,0.862,0.862
Zimbabwe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.06,0,0,0.12,0.039,0.6809999999999999,0.7140000000000001,0.8190000000000001,0.8190000000000001,0.8190000000000001
Swaziland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,0.551,0.8270000000000001,0.8270000000000001,0.775,0.81,0.775,0.775,0.775
Ireland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0,0,0,1.452,0.582,0.642,0.536,0.5760000000000001,0.561,0.579,0.649,0.649
Mauritius,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517,0.482,0.431,0.414,0.603,0.517,0.517,0.517,0.517
Panama,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.305,0.685,0.262,0.446,0.446,0.446
Georgia,,2.9,2,1.808493151,1,1.2,2.675342466,2.191506849,2.2,2,2,1.48,2.8,2,2,1,1,1,1,1,1,1.0,1.0,1.0,0.799452055,0.4,0.4,0.4
Israel,,0.2,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.08,0.08,0.1,0.06,0.075,0.1,0.1,0.1,0.1,0.1,0.1,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
Ethiopia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.16699999999999998,0.21100000000000002,0.29600000000000004,0.354,0.354,0.354
Mozambique,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0.03,0.04,0.161,0.281,0.282,0.282
Slovenia,,0,0.05,0,0,0,0,0,0,0.02,0.014,0.014,0.01,0.006,0.105,0.105,0.105,0.165,0.145,0.375,0.015,0.025,0.035,0.005,0.005,0.005,0.255,0.255
Macedonia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.01,0.01,0.04,0.1,0.11,0.1,0.14,0.23,0.24,0.23600000000000002,0.23600000000000002
Taiwan,,3,2,2.1,1.7,2.2,1.7,1.4,1.3,1.038,1.1,0.98,0.97,0.83,0.588,0.436,0.436,0.707,1.006,0.275,0.225,1.3659999999999999,1.3319999999999999,1.3019999999999998,0.312,0.226,0.226,0.226
Malawi,,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.327,0.345,0.345,0.345,0.345,0.431,0.517,0.2,0.2
Tajikistan,,1.3,0.8,0.6,0.7,0.6,0.6,0.5,0.5,0.389,0.326,0.309,0.352,0.25,0.279315068,0.3,0.278306849,0.235243169,0.217994521,0.215,0.215,0.213745902,0.20600000000000002,0.20600000000000002,0.18161643800000002,0.18,0.18,0.18
Nicaragua,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,0.138,0.086,0.258,0.172,0.10300000000000001,0.0,0.172,0.172,0.172
Morocco,,0.2,0.2,0.2,0.3,5.3,5,5.1,5.2,5.3,5.4,5.26,5.2,5.2,0.14,0.2,0.22,0.18,0.16,0.2,0.2,0.14,0.16,0.16,0.16,0.16,0.16,0.16
Hong Kong,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.58,0.1,0.3,2.1,0.1,0.1,0.1,0.1
Jordan,,0.05,0.031,0,0,0,0,0,0,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.018,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.022000000000000002
Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aruba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bahamas, The",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,,5.6,5.8,5.9,3,2,1.3,1,1,0.69,0.7,0.8,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.2,0.2,0.11,0.13,0.13,0.04,0.03,0.02,0.01,0.0,0.0
Djibouti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Salvador,,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0.35,1.54,5.78,4.74,4.555,2.15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Falkland Islands (Islas Malvinas),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faroe Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fiji,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Guiana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gambia, The",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gibraltar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grenada,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadeloupe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guam,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.02,0.02,0.02,0.02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiribati,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,30.159000000000002,0.0,0.0,0.0
"Korea, North",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macau,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maldives,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.02,0.02,0.02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martinique,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moldova,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montserrat,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nauru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Antilles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Caledonia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palestinian Territories,,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puerto Rico,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reunion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Helena,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Kitts and Nevis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Lucia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Vincent/Grenadines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sao Tome and Principe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seychelles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanzania,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Togo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tonga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turks and Caicos Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U.S. Pacific Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vanuatu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Virgin Islands, U.S.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Virgin Islands, British",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wake Island,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Sahara,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petroleum and Other Liquids (annual),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crude Oil, NGPL, and Other Liquids",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crude Oil, NGPL, and Other Liquids",,,,,,,,,,,,,,,,,,,,,,,,,,,,
